LabID,SiteLabel,SiteDescr,Site,Date,SampleType,Q_cfs,ROSS Turbidity,ROSS Time (MST),ROSS Field_DO_mgL,ROSS Field_Cond_µS/cm,ROSS Field_Temp_C,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 967,BMD,BMD_082521,Barnes Meadow Outflow,25-Aug-21,NORM,,,,,,,13,19.96,8.42,6.55,0.49,6.86,441.77,68.56,2.32,0.38,1.23,1.48,7.83,0.04,1.65,0.15,0,8.75
FCW 968,BRNR,BRNR_082521,Barnes Meadow Reservoir,25-Aug-21,NORM,,,,,,,4.2,7.82,1.91,14.03,0.41,7.15,478.99,80.92,2.64,0.02,1.29,1.63,9.59,0.03,1.79,0.02,0,11.09
FCW 966,CBRI,CBRI_082521,Chambers Inlet,25-Aug-21,NORM,,,,,,,3.5,5.83,0.45,7.02,0.18,7.21,456.88,54.51,1.96,0.04,0.82,1.01,7.33,0.05,0.65,0.12,0,3.46
FCW 969,CBRR,CBRR_082521,Chambers Reservoir,25-Aug-21,NORM,,,,,,,4.25,4.73,0.69,6.61,0.24,6.99,311.07,41.53,1.54,0.03,0.89,1.03,5.2,0.07,0.49,0.03,0,3.41
FCW 970,CHD,CHD_082521,Chambers Outflow,25-Aug-21,NORM,,,,,,,2.75,59.42,1.26,6.53,0.23,6.92,359.27,45.5,1.58,0.04,0.91,1.12,5.22,0.04,0.51,0.05,0,3.33
FCW 963,JOEI,JOEI_0782521,Joe Wright Inlet,25-Aug-21,NORM,,,,,,,3,2.41,0.23,5.02,0.23,7.26,482.02,67.53,1.81,0.04,0.55,1.6,8.79,0.14,0.31,0.71,0,7.94
FCW 964,JOEI,JOEI_0782521,Joe Wright Inlet,25-Aug-21,DUPLICATE,,,,,,,3.25,0.8,0.23,5.21,0.26,7.28,466.49,65.75,1.8,0.04,0.54,1.51,8.83,0.1,0.31,0.71,0,7.92
FCW 965,JOER,JOER_082521,Joe Wright Reservoir,25-Aug-21,NORM,,,,,,,2.5,1.65,1.51,6.3,0.2,7.16,381.23,48.45,1.44,0.03,0.6,1.21,6.3,0.09,0.47,0.03,0,3.99
FCW 960,LNGO,LNGO_082521,Long Draw Outlet,25-Aug-21,NORM,,,,,,,3.75,2.02,0.66,5.56,0.28,6.89,344.07,52.14,1.05,0.07,0.58,0.95,7.56,0.25,0.16,0.54,0,7.52
FCW 959,LNGR,LNGR_082521,Long Draw Reservoir,25-Aug-21,NORM,,,,,,,3.5,0.71,0.47,5.65,0.27,7.03,282.06,50.84,1.1,0.05,0.57,0.97,6.67,0.26,0.19,0.54,0.04,7.57
FCW 961,PTRO,PTRO_082521,Peterson Outlet,25-Aug-21,NORM,,,,,,,3.5,3.2,2.69,9.31,0.38,6.81,193.7,43.89,1.76,0.08,1.37,0.43,5.97,0.02,0.93,0.41,0,6.83
FCW 962,PTRR,PTRR_082521,Peterson Reservoir,25-Aug-21,NORM,,,,,,,1.75,2.4,3.03,9.57,0.42,6.73,210.53,41.41,1.72,0.06,1.39,0.42,5.18,0.03,0.97,0.44,0,7.43
FCW 992,BMD,BMD_090121,Barnes Meadow Outflow,1-Sep-21,NORM,,,,,,,13,5,1.23,7.02,0.53,6.9,421.2,65.39,2.41,0.31,1.09,1.51,7.33,0.03,1.56,0.22,0,9.36
FCW 994,BRNR,BRNR_090121,Barnes Meadow Reservoir,1-Sep-21,NORM,,,,,,,4,1.6,0.02,13.96,0.43,7.22,494.3,78.45,2.68,0.04,1.32,1.77,9.66,0.03,1.81,0.03,0,10.23
FCW 991,CBRI,CBRI_090121,Chambers Inlet,1-Sep-21,NORM,,,,,,,4,1.11,0.29,6.83,0.21,7.12,442.21,53.21,1.98,0.03,0.82,1.1,6.98,0.05,0.66,0.09,0,3.45
FCW 995,CBRR,CBRR_090121,Chambers Reservoir,1-Sep-21,NORM,,,,,,,5,0.7,2.6,6.55,0.26,7.02,341.2,43.21,1.55,0.06,0.92,1,5.51,0.07,0.45,0.04,0,3.54
FCW 996,CHD,CHD_090121,Chambers Outflow,1-Sep-21,NORM,,,,,,,3,1.21,1.11,6.49,0.24,7.02,355.4,44.31,1.59,0.04,0.94,1.07,5.4,0.04,0.54,0.06,0,3.41
FCW 989,JOEI,JOEI_090121,Joe Wright Inlet,1-Sep-21,NORM,,,,,,,4,,0.21,4.93,0.27,7.35,470.45,65.03,1.78,0.03,0.48,1.54,8.4,0.14,0.29,0.58,0,7.8
FCW 990,JOER,JOER_090121,Joe Wright Reservoir,1-Sep-21,NORM,,,,,,,2.5,2.2,1.51,6.21,0.19,7.21,387.54,47.32,1.48,0.02,0.6,1.12,6.31,0.08,0.48,0.04,0,3.71
FCW 986,LNGO,LNGO_090121,Long Draw Outlet,1-Sep-21,NORM,,,,,,,4,14.6,0.97,5.31,0.24,7.04,344.48,52.71,1.02,0.04,0.59,1.01,7.45,0.25,0.17,0.48,0,7.34
FCW 985,LNGR,LNGR_090121,Long Draw Reservoir,1-Sep-21,NORM,,,,,,,3.75,,0.77,5.77,0.28,6.9,299.4,48.71,1.03,0.02,0.6,1.03,6.51,0.3,0.18,0.5,0,7.49
FCW 987,PTRO,PTRO_090121,Peterson Outlet,1-Sep-21,NORM,,,,,,,3.7,6.35,2.53,8.67,0.38,7,274,44.78,1.73,0.06,1.38,0.52,5.4,0.03,0.84,0.36,0,6.75
FCW 988,PTRR,PTRR_090121,Peterson Reservoir,1-Sep-21,NORM,,,,,,,2.5,1.92,3.46,8.23,0.4,6.87,196.75,40.47,1.68,0.08,1.38,0.55,5.23,0.03,0.86,0.39,0,7.23
FCW 1005,BMD,BMD_090821,Barnes Meadow Outflow,8-Sep-21,NORM,,,,,,,14,,4.82,7.85,0.6,6.86,408.09,62.84,2.5,0.33,1.09,1.18,6.37,0.03,1.7,0.09,0,8.57
FCW 1006,BRNR,BRNR_090821,Barnes Meadow Reservoir,8-Sep-21,NORM,,,,,,,8,,2.36,11.86,0.42,6.98,425.66,72.15,2.61,0.3,1.29,1.06,9.74,0.04,1.67,0.08,0.09,8.59
FCW 1004,CBRI,CBRI_090821,Chambers Inlet,8-Sep-21,NORM,,,,,,,3.4,,0.37,4.34,0.23,6.99,441.15,53.77,2.12,0.01,0.89,1.29,7.52,0.08,0.7,0.1,0,2.92
FCW 1007,CBRR,CBRR_090821,Chambers Reservoir,8-Sep-21,NORM,,,,,,,5.1,1000.3,0.98,6.65,0.2,6.98,382.51,61.43,1.66,0.01,1.31,1.64,10.32,0.06,1.7,0.03,0,3.4
FCW 1008,CHD,CHD_090821,Chambers Outflow,8-Sep-21,NORM,,,,,,,5.6,,1.38,5.59,0.19,6.93,402.33,45.38,1.61,0.01,0.88,1.19,5.18,0.03,0.57,0.11,0,3.25
FCW 1002,JOEI,JOEI_090821,Joe Wright Inlet,8-Sep-21,NORM,,,,,,,3,,0.14,4.1,0.18,7.09,647.17,68.14,2.67,0.01,0.62,1.23,7.38,0.12,1.39,0.22,0,4.11
FCW 1003,JOER,JOER_090821,Joe Wright Reservoir,8-Sep-21,NORM,,,,,,,3.5,1.2,1.21,4.57,0.19,6.97,373.4,50.97,1.49,0,0.64,1.36,7.02,0.11,0.48,0.03,0,3.91
FCW 998,LNGO,LNGO_090821,Long Draw Outlet,8-Sep-21,NORM,,,,,,,7,2.65,1.2,4.38,0.29,6.93,296.38,51.7,1.1,0.04,0.58,0.9,6.92,0.27,0.16,0.46,0,8.52
FCW 997,LNGR,LNGR_090821,Long Draw Reservoir,8-Sep-21,NORM,,,,,,,6,0.6,1.07,5.37,0.3,6.96,273.78,43.22,1.09,0.03,0.58,0.92,5.04,0.28,0.17,0.47,0,8.58
FCW 999,PTRO,PTRO_090821,Peterson Outlet,8-Sep-21,NORM,,,,,,,10,2.06,1.98,5.66,0.35,6.88,289.65,39.54,2.16,0.03,1.28,0.48,4.45,0.03,1.13,0.11,0,4.65
FCW 1000,PTRR,PTRR_090821,Peterson Reservoir,8-Sep-21,NORM,,,,,,,9.8,2,1.59,7.14,0.46,6.8,186.51,37.03,1.68,0.04,1.31,0.44,3.85,0.03,1.02,0.08,0,7.63
FCW 1001,PTRR,PTRR_090821,Peterson Reservoir,8-Sep-21,DUPLICATE,,,,,,,9.9,,1.51,7.11,0.46,6.81,183.82,37.41,1.72,0.08,1.35,0.46,3.93,0.03,1.06,0.09,0,7.74
FCW 1053,BMD,BMD_091521,Barnes Meadow Outflow,15-Sep-21,NORM,,,,,,,10,5.8,1.16,6.53,0.58,7.05,407.25,64.67,2.53,0.38,1.44,1.17,6.64,0.05,1.69,0.17,0,7.93
FCW 1054,BRNR,BRNR_091521,Barnes Meadow Reservoir,15-Sep-21,NORM,,,,,,,5.4,6.12,3.2,6.29,0.31,7.27,457.45,73.96,2.62,0,1.39,1.08,9,0.06,1.72,0.01,0,11.09
FCW 1051,CBRI,CBRI_091521,Chambers Inlet,15-Sep-21,NORM,,,,,,,5.5,1.93,0.58,4.51,0.21,7.15,345.49,48.1,1.58,0.01,0.76,1.4,6.45,0.08,0.64,0.22,0,3.37
FCW 1052,CBRI,CBRI_091521,Chambers Inlet,15-Sep-21,DUPLICATE,,,,,,,4,3.4,0.53,4.44,0.21,7.13,353.04,47.7,1.6,0.01,0.77,1.4,6.53,0.08,0.68,0.24,0,3.38
FCW 1055,CBRR,CBRR_091521,Chambers Reservoir,15-Sep-21,NORM,,,,,,,5.8,1.12,1.08,5.66,0.2,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32
FCW 1056,CHD,CHD_091521,Chambers Outflow,15-Sep-21,NORM,,,,,,,3.8,,1.37,4.55,0.2,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3
FCW 1049,JOEI,JOEI_091521,Joe Wright Inlet,15-Sep-21,NORM,,,,,,,2.5,0.6,0.16,4,0.12,7.63,644.45,71.18,3.24,0.01,0.75,1.69,7.01,0.1,1.98,0.16,0,3.36
FCW 1050,JOER,JOER_091521,Joe Wright Reservoir,15-Sep-21,NORM,,,,,,,4.1,0.2,1.75,3.27,0.16,7.16,370.39,52.16,1.57,0.05,0.74,1.53,7,0.1,0.52,0.04,0,3.98
FCW 1046,LNGO,LNGO_091521,Long Draw Outlet,15-Sep-21,NORM,,,,,,,6.7,1.49,1.8,3.89,0.24,7.05,292.56,49.26,1.17,0.03,0.66,0.85,6.03,0.27,0.18,0.39,0,8.76
FCW 1045,LNGR,LNGR_091521,Long Draw Reservoir,15-Sep-21,NORM,,,,,,,5.2,1.73,1.49,4.56,0.3,7.03,294.03,48.97,1.23,0.05,0.68,0.84,5.54,0.27,0.18,0.42,0,8.8
FCW 1047,PTRO,PTRO_091521,Peterson Outlet,15-Sep-21,NORM,,,,,,,13.5,5.96,1.64,4.21,0.31,7.18,338.97,47.43,2.52,0.13,1.45,0.55,4.72,0.05,1.17,0.16,0,4.23
FCW 1048,PTRR,PTRR_091521,Peterson Reservoir,15-Sep-21,NORM,,,,,,,9,5.34,1.03,4.81,0.43,6.95,200.06,39.13,1.86,0.13,1.45,0.56,3.2,0.03,1.16,0.12,0,7.91
FCW 1063,COMI,COMI_092121,Comanche Inflow,21-Sep-21,NORM,,,,,,,2.1,0.38,0.17,2.34,0.19,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96
FCW 1066,COMO,COMO_092121,Comanche Outflow,21-Sep-21,NORM,,,,,,,10,4.9,2.68,2.45,0.24,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36
FCW 1064,COMR,COMR_092121,Comanche Reservoir,21-Sep-21,NORM,,,,,,,10.1,2.5,0.68,1.96,0.17,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47
FCW 1065,HORI,HORI_092121,Hourglass Inflow,21-Sep-21,NORM,,,,,,,2.1,0.1,0.18,1.04,0.26,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48
FCW 1068,HORO,HORO_092121,Hourglass Outflow,21-Sep-21,NORM,,,,,,,3.1,2.5,2.69,0.99,0.16,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64
FCW 1067,HORR,HORR_092121,Hourglass Reservoir,21-Sep-21,NORM,,,,,,,3.5,0.58,3.02,1.51,0.16,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62
FCW 1093,BMD,BMD_092221,Barnes Meadow Outflow,22-Sep-21,NORM,,,,,,,6.6,,0.96,6.96,0.57,7,317.14,51.09,2.39,0.34,1.18,1.09,4.31,0.07,1.91,0.06,0,6.53
FCW 1094,BRNR,BRNR_092221,Barnes Meadow Reservoir,22-Sep-21,NORM,,,,,,,4,,3.47,7.6,0.3,7.12,440.88,75.08,2.52,0.02,1.26,1.1,8.82,0.05,1.82,0,0,11.06
FCW 1092,CBRI,CBRI_092221,Chambers Inlet,22-Sep-21,NORM,,,,,,,4,,0.92,4.61,0.2,7.02,334.98,46.96,1.58,0.01,0.71,1.33,6.56,0.08,0.63,0.21,0,3.38
FCW 1095,CBRR,CBRR_092221,Chambers Reservoir,22-Sep-21,NORM,,,,,,,3.6,,0.91,5.51,0.18,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48
FCW 1096,CHD,CHD_092221,Chambers Outflow,22-Sep-21,NORM,,,,,,,3.5,,1.47,4.31,0.18,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63
FCW 1090,JOEI,JOEI_092221,Joe Wright Inlet,22-Sep-21,NORM,,,,,,,2.3,,0.1,4.05,0.13,7.33,691.02,71.48,3.34,0.02,0.66,1.65,6.98,0.09,2.12,0.2,0,3.22
FCW 1091,JOER,JOER_092221,Joe Wright Reservoir,22-Sep-21,NORM,,,,,,,2.8,,1.77,3.34,0.15,7.05,355.97,49.47,1.55,0.01,0.67,1.45,7.06,0.1,0.51,0.06,0,3.99
FCW 1086,LNGO,LNGO_092221,Long Draw Outlet,22-Sep-21,NORM,,,,,,,6,,2.57,3.77,0.23,6.96,309.08,49.74,1.23,0.06,0.64,0.87,6.41,0.27,0.18,0.3,0,8.44
FCW 1087,LNGO,LNGO_092221,Long Draw Outlet,22-Sep-21,DUPLICATE,,,,,,,6.5,,2.55,3.74,0.21,6.98,319.32,49.38,1.23,0.05,0.64,0.82,6.26,0.27,0.21,0.3,0,8.47
FCW 1085,LNGR,LNGR_092221,Long Draw Reservoir,22-Sep-21,NORM,,,,,,,5.5,,2.27,4.31,0.28,6.97,309.51,48.47,1.21,0.03,0.65,0.9,5.66,0.27,0.17,0.31,0,8.41
FCW 1088,PTRO,PTRO_092221,Peterson Outlet,22-Sep-21,NORM,,,,,,,10.5,,3.55,4.06,0.32,7.04,338.97,42.77,2.6,0.06,1.41,0.47,3.68,0.06,1.33,0.13,0,3.75
FCW 1089,PTRR,PTRR_092221,Peterson Reservoir,22-Sep-21,NORM,,,,,,,7.4,,1.12,4.73,0.52,6.8,200.15,37.59,1.79,0.13,1.43,0.52,3.12,0.03,1.07,0.12,0,7.84
FCW 1105,BMD,BMD_092821,Barnes Meadow Outflow,28-Sep-21,NORM,,,,,,,9.3,,2.05,6.11,0.6,7.03,349.87,56.95,2.4,0.28,1.29,1.07,5.01,0.05,1.74,0.04,0,7.73
FCW 1106,BRNR,BRNR_092821,Barnes Meadow Reservoir,28-Sep-21,NORM,,,,,,,3.2,,3.1,7.33,0.3,7.18,457.34,68.84,2.65,0.02,1.32,1.01,8.11,0.05,1.95,0.02,0,11.2
FCW 1104,CBRI,CBRI_092821,Chambers Inlet,28-Sep-21,NORM,,,,,,,3.6,,1.18,4.33,0.18,6.98,343.68,48.86,1.46,0.03,0.68,1.34,6.72,0.08,0.58,0.15,0,3.36
FCW 1107,CBRR,CBRR_092821,Chambers Reservoir,28-Sep-21,NORM,,,,,,,5,,0.72,5.22,0.17,7.08,391.67,43.46,1.57,0.04,0.83,0.93,4.43,0.07,0.61,0.01,0,3.58
FCW 1108,CHD,CHD_092821,Chambers Outflow,28-Sep-21,NORM,,,,,,,3.1,,1.15,4.22,0.19,7.02,402.75,42.77,1.6,0.03,0.85,0.95,4.46,0.07,0.61,0.02,0,3.61
FCW 1101,JOEI,JOEI_092821,Joe Wright Inlet,28-Sep-21,NORM,,,,,,,2,,0.5,3.89,0.14,7.49,713.06,68.41,3.64,0.03,0.62,1.49,6.14,0.1,1.97,0.1,0,2.76
FCW 1102,JOER,JOER_092821,Joe Wright Reservoir,28-Sep-21,DUPLICATE,,,,,,,2.2,,1.42,3.45,0.16,7,363.18,51.42,1.4,0.02,0.64,1.43,6.99,0.1,0.47,0.01,0,3.84
FCW 1103,JOER,JOER_092821,Joe Wright Reservoir,28-Sep-21,NORM,,,,,,,2.5,,1.45,3.51,0.15,6.98,361.96,50.49,1.43,0.02,0.64,1.41,6.93,0.1,0.51,0.01,0,3.85
FCW 1098,LNGO,LNGO_092821,Long Draw Outlet,28-Sep-21,NORM,,,,,,,10.6,,1.97,3.55,0.19,7,311.06,46.46,1.13,0.05,0.61,0.83,5.7,0.29,0.21,0.19,0,8.39
FCW 1097,LNGR,LNGR_092821,Long Draw Reservoir,28-Sep-21,NORM,,,,,,,5.9,,1.69,4.29,0.3,6.97,293.01,45.88,1.15,0.06,0.61,0.9,5.12,0.29,0.24,0.2,0,8.32
FCW 1099,PTRO,PTRO_092821,Peterson Outlet,28-Sep-21,NORM,,,,,,,11.5,,3.25,4.06,0.31,7.12,335.4,42.07,2.6,0.09,1.3,0.47,3.53,0.05,1.33,0.02,0.03,3.79
FCW 1100,PTRR,PTRR_092821,Peterson Reservoir,28-Sep-21,NORM,,,,,,,9.3,,0.8,5.22,0.49,6.77,181.45,39.35,1.68,0.13,1.33,0.53,3.95,0.05,1.05,0.09,0,7.93
FCW 1193,PJW,PJW_100821,Poudre Above Joe Wright,8-Oct-21,NORM,,,,,,,2.6,2.92,,4.99,0.3,7.16,341.42,43.78,1.38,0.04,0.58,0.91,4.45,0.06,0.4,0.63,0,4.93
FCW 1192,JWC,JWC_100821,JWC-Joe Wright @ Aspen Glen Campground,8-Oct-21,NORM,,,,,,,,,,5.22,0.21,7.28,458.66,47.75,1.85,0.06,0.75,1.03,5.44,0.04,0.64,0.27,0,2
FCW 1195,PBR,PBR_100821,Poudre Below Rustic,8-Oct-21,NORM,,,,,,,,,,6.01,0.28,7.54,547.39,56.18,2.05,0.03,0.82,1.08,5.8,0.04,0.81,0.34,0,4
FCW 1199,PNF,PNF_100821,Poudre Above North Fork,8-Oct-21,NORM,,,,,,,,,,3.51,0.52,7.61,514.88,57.4,2.44,0.03,0.84,1.52,4.55,0.11,1.21,0.22,0,4.56
FCW 1197,PSF,PSF_100821,Poudre Below S. Fork,8-Oct-21,NORM,,,,,,,,,,6.34,0.21,7.58,360.67,43.05,2.31,0.03,0.93,0.89,3.67,0.07,1.41,0.35,0,3.9
FCW 1196,SFM,SFM_100821,Poudre South Fork,8-Oct-21,NORM,,,,,,,,,,6.51,0.29,7.26,454.81,43.97,2.21,0.04,0.61,0.9,3.8,0.04,0.51,0.3,0,1.73
FCW 1171,BMD,BMD_101321,Barnes Meadow Outflow,13-Oct-21,NORM,,,,,,,10.5,22.18,1.97,5.98,0.57,7.2,372.75,62.07,2.54,0.21,1.29,1.07,5.75,0.05,1.8,0,0,10.81
FCW 1172,BRNR,BRNR_101321,Barnes Meadow Reservoir,13-Oct-21,NORM,,,,,,,5,4.3,4.6,7.09,0.34,7.24,476.04,74.96,2.61,0.03,1.27,1.09,8.05,0.07,1.87,0.01,0,10.62
FCW 1173,BRNR,BRNR_101321,Barnes Meadow Reservoir,13-Oct-21,DUPLICATE,,,,,,,7,6.25,4.49,7.11,0.34,7.23,453.94,71.26,2.57,0.03,1.28,1.09,7.95,0.04,1.86,0.03,0,10.61
FCW 1170,CBRI,CBRI_101321,Chambers Inlet,13-Oct-21,NORM,,,,,,,3.9,5.5,1.58,3.96,0.18,7.22,471.8,60.74,2.29,0.03,0.85,1.47,7.59,0.08,1.1,0.06,0,3.37
FCW 1174,CBRR,CBRR_101321,Chambers Reservoir,13-Oct-21,NORM,,,,,,,35.8,269.02,1.61,4.99,0.18,7.23,425.54,43.81,1.65,0.01,0.82,0.93,3.95,0.08,0.68,0.02,0,3.85
FCW 1175,CHD,CHD_101321,Chambers Outflow,13-Oct-21,NORM,,,,,,,6.9,10,2.23,3.87,0.18,7.2,414.3,44.97,1.74,0.04,0.82,0.87,4.23,0.1,0.82,0.02,0,3.87
FCW 1168,JOEI,JOEI_101321,Joe Wright Inlet,13-Oct-21,NORM,,,,,,,1.3,5.58,0.29,3.77,0.15,7.27,549.03,67.64,2.41,0.01,0.65,1.32,6.56,0.12,1.37,0.56,0,7.54
FCW 1169,JOER,JOER_101321,Joe Wright Reservoir,13-Oct-21,NORM,,,,,,,4.5,12.68,2.78,3.23,0.15,7.18,394.35,51.46,1.5,0.01,0.63,1.44,6.59,0.09,0.57,0.01,0,3.87
FCW 1165,LNGO,LNGO_101321,Long Draw Outlet,13-Oct-21,NORM,,,,,,,14,12.96,1.05,3.41,0.2,7.01,329.23,46.64,1.74,0.09,0.77,0.99,5.27,0.22,0.35,0.15,0,6.41
FCW 1164,LNGR,LNGR_101321,Long Draw Reservoir,13-Oct-21,NORM,,,,,,,12,2.83,2.18,4.31,0.27,6.98,290.69,44.06,1.22,0.02,0.61,0.82,4.93,0.26,0.23,0.21,0,7.66
FCW 1166,PTRO,PTRO_101321,Peterson Outlet,13-Oct-21,NORM,,,,,,,9.5,9.33,2.35,3.96,0.3,7.07,285.02,37.69,2.47,0.03,1.31,0.44,3.22,0.04,1.33,0.26,0,3.42
FCW 1167,PTRR,PTRR_101321,Peterson Reservoir,13-Oct-21,NORM,,,,,,,11,5.58,1.53,5.41,0.47,6.89,192.31,39.53,1.73,0.12,1.31,0.51,3.51,0.04,1.08,0.13,0,7.82
FCW 1211,BMD,BMD_102621,Barnes Meadow Outflow,26-Oct-21,NORM,,,,,,,15,2.02,1.01,7.46,0.38,6.99,518.47,66.97,2.57,0.03,1.36,0.84,5.38,0.07,1.79,0.15,0,11.25
FCW 1212,BRNR,BRNR_102621,Barnes Meadow Reservoir,26-Oct-21,NORM,,,,,,,4,4,3.34,7.58,0.34,7.08,523.99,71.34,2.55,0.02,1.35,0.85,6.45,0.05,1.77,0.01,0,11.03
FCW 1210,CBRI,CBRI_102621,Chambers Inlet,26-Oct-21,NORM,,,,,,,3.5,23.06,1.22,4.67,0.2,7.24,541.29,60.19,2.3,0.01,0.93,1.38,6.18,0.08,1.06,0.3,0,3.66
FCW 1213,CBRR,CBRR_102621,Chambers Reservoir,26-Oct-21,NORM,,,,,,,5.5,1.82,2.08,4.33,0.18,7.15,459.11,44.74,1.69,0.01,0.9,0.71,3.65,0.08,0.76,0.09,0,4.08
FCW 1214,CHD,CHD_102621,Chambers Outflow,26-Oct-21,NORM,,,,,,,3.5,1.82,2.41,4.49,0.2,7.19,468.46,46.51,1.74,0.01,0.92,0.73,3.73,0.07,0.75,0.09,0,4.12
FCW 1207,JOEI,JOEI_102621,Joe Wright Inlet,26-Oct-21,NORM,,,,,,,1.5,3.44,0.28,4.14,0.24,7.12,582.73,64.39,2.24,0.01,0.65,1.07,4.95,0.18,0.92,0.68,0,9.47
FCW 1208,JOEI,JOEI_102621,Joe Wright Inlet,26-Oct-21,DUPLICATE,,,,,,,1.5,0.18,0.26,4.02,0.23,7.12,593.54,65.59,2.26,0,0.65,1.09,4.93,0.17,0.92,0.67,0,9.44
FCW 1209,JOER,JOER_102621,Joe Wright Reservoir,26-Oct-21,NORM,,,,,,,4,109.63,2.24,4.01,0.14,6.99,423.31,50.32,1.52,0.01,0.69,1.42,6.27,0.15,0.56,0.05,0,3.93
FCW 1242,PJW,PJW_110521,Poudre Above Joe Wright,5-Nov-21,NORM,,,,,,,,2.89,,2.82,0.47,7.45,273.76,35.64,2.1,0.02,0.64,0.61,2.6,0.05,0.83,1.24,0,3.69
FCW 1241,JWC,JWC_1105,JWC-Joe Wright @ Aspen Glen Campground,5-Nov-21,NORM,,,,,,,,,,3.76,0.2,7.25,467.04,47.29,1.94,0.05,0.9,0.74,3.69,0.07,1.04,0.15,0,4.25
FCW 1246,PBR,PBR_110521,Poudre Below Rustic,5-Nov-21,NORM,,,,,,,,,,4.06,0.25,7.35,396.57,53.84,3.7,0.03,1.04,1.16,4.25,0.05,1.69,0.35,0,4.75
FCW 1249,PNF,PNF_110521,Poudre Above North Fork,5-Nov-21,NORM,,,,,,,,,,4.51,0.18,7.6,563.48,61.47,2.46,0.01,1.09,1.84,4.46,0.16,1.08,0.07,0,5.53
FCW 1245,PSF,PSF_110521,Poudre Below S. Fork,5-Nov-21,NORM,,,,,,,,,,3.9,0.2,7.51,381.79,51.52,3.76,0.02,0.95,1.11,4.14,0.09,1.63,0.23,0,4.59
FCW 1247,SFM,SFM_110521,Poudre South Fork,5-Nov-21,NORM,,,,,,,,,,2.81,0.26,7.59,359.06,39.13,3.22,0.01,0.6,0.71,2.6,0.08,0.69,0.52,0,2.95
FCW 1264,PJW,PJW_112921,Poudre Above Joe Wright,29-Nov-21,NORM,,,,,,,,,,2.68,0.52,7.34,284.01,39.08,2.83,0.04,0.67,0.66,2.91,0.08,0.82,1.63,0,3.7
FCW 1263,JWC,JWC_112921,JWC-Joe Wright @ Aspen Glen Campground,29-Nov-21,NORM,,,,,,,,,,3.84,0.18,6.99,439.46,51.8,2.18,0.03,0.98,0.85,4.34,0.06,1.13,0.03,0,4.4
FCW 1266,PBR,PBR_112921,Poudre Below Rustic,29-Nov-21,NORM,,,,,,,,,,3.91,0.3,7.3,435.73,60.89,3.76,0.05,1.08,1.24,4.5,0.05,1.73,0.49,0,4.84
FCW 1268,PSF,PSF_112921,Poudre Below S. Fork,29-Nov-21,NORM,,,,,,,,,,3.98,0.26,7.21,376.08,54.74,4.01,0.03,1.11,1.26,4.65,0.11,1.88,0.36,0,5.07
FCW 1267,SFM,SFM_112921,Poudre South Fork,29-Nov-21,NORM,,,,,,,,,,2.71,0.29,7.58,360.91,38.94,2.94,0.05,0.61,0.74,2.69,0.08,0.68,0.55,0,2.99
FCW 1280,PNF,PNF_120321,Poudre Above North Fork,3-Dec-21,NORM,,,,,,,,,,2.17,0.15,7.51,390.52,47.56,2.61,0.01,0.93,1.62,4.1,0.07,0.94,0.11,0,1.85
FCW 1282,PJW,PJW_121421,Poudre Above Joe Wright,14-Dec-21,NORM,,,,,,,,0,,2.69,0.56,7.38,335.82,41.67,2.48,0.02,0.64,0.65,2.9,0.07,0.81,1.64,0,3.51
FCW 1281,JWC,JWC_121421,JWC-Joe Wright @ Aspen Glen Campground,14-Dec-21,NORM,,,,,,,,,,3.91,0.25,7.52,482.43,56.7,2.09,0.01,0.91,0.84,4.12,0.06,1.13,0.05,0,4.57
FCW 1284,PBR,PBR_121421,Poudre Below Rustic,14-Dec-21,NORM,,,,,,,,,,4.34,0.36,7.61,639.28,67.39,3.3,0.02,1.15,1.28,4.83,0.09,1.82,0.56,0,5.23
FCW 1287,PSF,PSF_121421,Poudre Below S. Fork,14-Dec-21,NORM,,,,,,,,,,4.2,0.31,7.65,599.27,64.76,3.47,0.02,1.09,1.26,4.71,0.09,1.87,0.54,0,5.39
FCW 1286,SFM,SFM_121421,Poudre South Fork,14-Dec-21,NORM,,,,,,,,,,2.72,0.28,6.73,363.75,38.82,2.87,0.02,0.61,0.74,2.74,0.14,0.71,0.6,0,3.15
